Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-15,Śniadanie,"Skyr jogurt pitny typu islandzkiego mango & marakuja","1x opakowanie",330,264,21.45,,,4.95,3.63,,,,,33,33,,,,,,,,,,,,,,,,,,,,,,,,105.6,,,0.264
2025-04-15,"II śniadanie","Schab wieprzowy bez kości","133x g",133,170.24,31.92,,30.457,4.655,2.261,,,,,0.532,0,,,,,,,,,,,,,,,,,,,,,,,,53.2,,,0.133
2025-04-15,"II śniadanie","Mąka pszenna","66x g",66,226.38,6.204,6.204,0,1.056,0.132,0.066,0.396,,,48.906,0.33,0,1.65,,36.96,0,0.132,0.066,,0.066,,0,0,0,0.264,0.396,,0.594,60.72,0,12.54,0.066,89.76,,1.32,12.54,0.858,
2025-04-15,Obiad,"Mleko spożywcze 0.5 % tłuszczu","250x ml",250,97.5,8.75,0,8.5,1.25,0.8,0.3,0.025,0,0.025,12.75,12.75,5,0,,12.5,37.5,0.1,0.425,,0.125,,1,2.5,0,0.025,0.25,0.25,1,242.5,8.5,30,0.025,352.5,,113,302.5,0.25,0.275
2025-04-15,Obiad,"Pieczywo chrupkie kukurydziane","33x g",33,121.77,2.508,,,0.165,0.033,,,,,27.06,0.495,,1.254,,,,,,,,,,,,,,,,,,,,,,,,,0.363
2025-04-15,Przekąska,Białko,"40x g",40,156,31.6,,31.6,2.6,1.6,0.64,0.04,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,80,,,0.396
2025-04-15,Przekąska,"Kleik ryżowy Bobovita","50x g",50,194,3.9,,,0.6,0.2,,,,0,42.75,0,,0.9,,,,0.4,,,,,,,,,,,,,,,,,,6,,,0.015
2025-04-16,Śniadanie,"Schab wieprzowy bez kości","133x g",133,170.24,31.92,,30.457,4.655,2.261,,,,,0.532,0,,,,,,,,,,,,,,,,,,,,,,,,53.2,,,0.133
2025-04-16,Śniadanie,"Mąka pszenna","66x g",66,226.38,6.204,6.204,0,1.056,0.132,0.066,0.396,,,48.906,0.33,0,1.65,,36.96,0,0.132,0.066,,0.066,,0,0,0,0.264,0.396,,0.594,60.72,0,12.54,0.066,89.76,,1.32,12.54,0.858,
2025-04-16,Śniadanie,"Skyr jogurt pitny typu islandzkiego mango & marakuja","1x opakowanie",330,264,21.45,,,4.95,3.63,,,,,33,33,,,,,,,,,,,,,,,,,,,,,,,,105.6,,,0.264
2025-04-16,Obiad,"Chlebulak ","1x porcja",285,420.55,48.48,1.6,4.86,3.5,1.98,0.07,0.1,0.03,0.07,47.54,38.05,0.3,2.72,0,35.95,15.05,0.07,0.19,0.59,0.58,,0.06,14.55,0,0.43,0.82,0.82,0.35,46.55,4.99,54.6,0.16,653.15,1.66,100.38,27.75,0.66,0.25
2025-04-16,Kolacja,Białko,"40x g",40,156,31.6,,31.6,2.6,1.6,0.64,0.04,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,80,,,0.396
2025-04-16,Kolacja,"Kleik ryżowy Bobovita","50x g",50,194,3.9,,,0.6,0.2,,,,0,42.75,0,,0.9,,,,0.4,,,,,,,,,,,,,,,,,,6,,,0.015
2025-04-16,Kolacja,Banan,"110x g",110,106.7,1.1,1.1,0,0.33,0.132,0.033,0.066,0.022,0.044,23.98,21.12,0,1.87,0,24.2,8.8,0.044,0.11,0.407,0.396,,0,9.9,0,0.297,0.55,0.55,0.198,22,3.08,36.3,0.11,434.5,1.144,1.1,6.6,0.44,0
2025-04-16,Kolacja,"Mleko spożywcze 0.5 % tłuszczu","300x ml",300,117,10.5,0,10.2,1.5,0.96,0.36,0.03,0,0.03,15.3,15.3,6,0,,15,45,0.12,0.51,,0.15,,1.2,3,0,0.03,0.3,0.3,1.2,291,10.2,36,0.03,423,,135.6,363,0.3,0.33
2025-04-17,Śniadanie,"High protein creamy chocolate","1x opakowanie",265,294.15,22.26,,,7.95,5.565,,,,,45.845,21.73,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.53
2025-04-17,Śniadanie,"Müller Riso Zero Deser mleczno-ryżowy cynamon 200 g","1x opakowanie",200,144,5.8,,,4.2,2.8,,,,,20.6,7,,,,,,,,,,,,,,,,,,,,,,,,208,,,0.52
2025-04-17,Śniadanie,Banan,"110x g",110,106.7,1.1,1.1,0,0.33,0.132,0.033,0.066,0.022,0.044,23.98,21.12,0,1.87,0,24.2,8.8,0.044,0.11,0.407,0.396,,0,9.9,0,0.297,0.55,0.55,0.198,22,3.08,36.3,0.11,434.5,1.144,1.1,6.6,0.44,0
